6,4.32349,4.39673,0.581433,4.32342,4.39662,0.581244,10,0.00849299
8,3.98954,4.36875,0.581578,3.98962,4.36887,0.581586,10,0.00849299
10,3.07404,4.40239,0.583247,3.07383,4.40233,0.583159,10,0.00849299
14,2.68444,4.38805,0.582035,2.68489,4.38821,0.582163,10,0.00849299
6,4.3234,4.39646,0.581336,4.32349,4.39673,0.581433,10,0.0081638
8,3.98963,4.36882,0.581773,3.98954,4.36875,0.581578,10,0.0081638
10,3.074,4.40235,0.583417,3.07404,4.40239,0.583247,10,0.0081638
14,2.68482,4.38816,0.582234,2.68444,4.38805,0.582035,10,0.0081638
6,4.32358,4.39676,0.581649,4.3234,4.39646,0.581336,10,0.00832184
8,3.98973,4.36885,0.581951,3.98963,4.36882,0.581773,10,0.00832184
10,3.07383,4.40235,0.583327,3.074,4.40235,0.583417,10,0.00832184
14,2.68482,4.38812,0.582243,2.68482,4.38816,0.582234,10,0.00832184
6,4.32351,4.39671,0.581555,4.32358,4.39676,0.581649,10,0.00811755
8,3.98974,4.36882,0.581919,3.98973,4.36885,0.581951,10,0.00811755
10,3.07407,4.40234,0.583405,3.07383,4.40235,0.583327,10,0.00811755
14,2.68482,4.38813,0.582237,2.68482,4.38812,0.582243,10,0.00811755
6,4.32339,4.39664,0.581303,4.32351,4.39671,0.581555,10,0.00865542
8,3.98967,4.36884,0.581723,3.98974,4.36882,0.581919,10,0.00865542
10,3.07402,4.40238,0.58341,3.07407,4.40234,0.583405,10,0.00865542
14,2.68494,4.38818,0.582296,2.68482,4.38813,0.582237,10,0.00865542
6,4.32344,4.39662,0.581229,4.32339,4.39664,0.581303,10,0.00818749
8,3.9897,4.36877,0.581751,3.98967,4.36884,0.581723,10,0.00818749
10,3.07387,4.40236,0.583147,3.07402,4.40238,0.58341,10,0.00818749
14,2.68478,4.38816,0.582175,2.68494,4.38818,0.582296,10,0.00818749
6,4.32344,4.39666,0.581326,4.32344,4.39662,0.581229,10,0.0123926
8,3.98957,4.36887,0.581563,3.9897,4.36877,0.581751,10,0.0123926
10,3.07391,4.40244,0.583252,3.07387,4.40236,0.583147,10,0.0123926
14,2.68468,4.38816,0.582076,2.68478,4.38816,0.582175,10,0.0123926
6,4.32354,4.39669,0.581509,4.32344,4.39666,0.581326,10,0.00432771
8,3.98962,4.36887,0.581762,3.98957,4.36887,0.581563,10,0.00432771
10,3.07384,4.40243,0.583299,3.07391,4.40244,0.583252,10,0.00432771
14,2.68471,4.38817,0.582046,2.68468,4.38816,0.582076,10,0.00432771
6,4.3235,4.39659,0.581511,4.32354,4.39669,0.581509,10,0.00843795
8,3.98962,4.36885,0.581842,3.98962,4.36887,0.581762,10,0.00843795
10,3.07383,4.4024,0.583291,3.07384,4.40243,0.583299,10,0.00843795
14,2.68479,4.38817,0.58231,2.68471,4.38817,0.582046,10,0.00843795
6,4.32347,4.39665,0.581427,4.3235,4.39659,0.581511,10,0.00821433
8,3.98967,4.36886,0.581892,3.98962,4.36885,0.581842,10,0.00821433
10,3.07383,4.40238,0.583293,3.07383,4.4024,0.583291,10,0.00821433
14,2.68501,4.38822,0.582232,2.68479,4.38817,0.58231,10,0.00821433
6,4.32348,4.3967,0.581411,4.32347,4.39665,0.581427,10,0.00845443
8,3.98969,4.36876,0.581776,3.98967,4.36886,0.581892,10,0.00845443
10,3.07387,4.40237,0.583293,3.07383,4.40238,0.583293,10,0.00845443
14,2.6848,4.38806,0.582149,2.68501,4.38822,0.582232,10,0.00845443
6,4.32354,4.39673,0.581366,4.32348,4.3967,0.581411,10,0.00847692
